taxonID	taxonName
2759	Eukaryota
2763	Rhodophyta
2769	Chondrus crispus
3041	Chlorophyta
3055	Chlamydomonas reinhardtii
3193	Embryophyta
3218	Physcomitrella patens
3398	Magnoliophyta
3555	Beta vulgaris subsp. vulgaris
3641	Theobroma cacao
3694	Populus trichocarpa
3700	Brassicaceae
3701	Arabidopsis
3702	Arabidopsis thaliana
3705	Brassica
3708	Brassica napus
3760	Prunus persica
3814	Papilionoideae
3847	Glycine max
3880	Medicago truncatula
4081	Solanum lycopersicum
4107	Solanum
4113	Solanum tuberosum
4479	Poaceae
4527	Oryza
4528	Oryza longistaminata
4529	Oryza rufipogon
4533	Oryza brachyantha
4536	Oryza nivara
4537	Oryza punctata
4538	Oryza glaberrima
4555	Setaria italica
4558	Sorghum bicolor
4564	Triticum
4565	Triticum aestivum
4572	Triticum urartu
4577	Zea mays
4734	commelinids
6239	Caenorhabditis elegans
7227	Drosophila melanogaster
7711	Chordata
9606	Homo sapiens
13333	Amborella trichopoda
15368	Brachypodium distachyon
29760	Vitis vinifera
33090	Viridiplantae
33154	Opisthokonta
37682	Aegilops tauschii
39946	Oryza sativa Indica Group
39947	Oryza sativa Japonica Group
40148	Oryza glumipatula
40149	Oryza meridionalis
51351	Brassica rapa subsp. pekinensis
51511	Ciona savignyi
57577	Trifolium pratense
58023	Tracheophyta
65489	Oryza barthii
71275	rosids
77586	Leersia perrieri
81972	Arabidopsis lyrata subsp. lyrata
88036	Selaginella moellendorffii
91835	fabids
91836	malvids
109376	Brassica oleracea var. oleracea
112509	Hordeum vulgare subsp. vulgare
130081	Galdieria sulphuraria
147368	Pooideae
147369	Panicoideae
147380	Oryzeae
147389	Triticeae
147429	Andropogoneae
163742	Trifolieae
214687	Musa acuminata subsp. malaccensis
280699	Cyanidioschyzon merolae strain 10D
359160	BOP clade
436017	Ostreococcus lucimarinus CCE9901
559292	Saccharomyces cerevisiae S288c
1206794	Ecdysozoa
1437201	Pentapetalae
